"","precision","recall","F1s"
"BART_pointwise",0.926,0.602000000000001,0.729649214659687
"BART_simul_max",1,0.504,0.670212765957447
"BART_simul_se",1,0.546,0.706338939197931
"stepwise_backward",0.12780413242286,0.668,0.214558223512985
"stepwise_forward",0.0499999999999999,1,0.0952380952380951
"lasso",0.9325,0.31,0.465311871227364
