"","precision","recall","F1s"
"BART_pointwise",0.887034632034632,1,0.940136038815797
"BART_simul_max",1,0.977,0.988366211431462
"BART_simul_se",0.999090909090909,0.973,0.985872862213617
"stepwise_backward",0.085836481146306,1,0.158102039555144
"stepwise_forward",0.0499999999999999,1,0.0952380952380951
"lasso",0.640888851921225,1,0.781148401576187
