"","precision","recall","F1s"
"BART_pointwise",0.0526934792245672,0.622000000000001,0.0971562497249859
"BART_simul_max",1,0.402,0.573466476462196
"BART_simul_se",0.748833333333333,0.504,0.602493547957962
"stepwise_backward",NA,NA,NA
"stepwise_forward",NA,NA,NA
"lasso",0.835,0.266,0.403469573115349
