"","precision","recall","F1s"
"BART_pointwise",0.0550782550408003,0.630000000000001,0.101300254154579
"BART_simul_max",1,0.405999999999999,0.577524893314367
"BART_simul_se",0.783,0.512,0.619144401544402
"stepwise_backward",NA,NA,NA
"stepwise_forward",NA,NA,NA
"lasso",0.915,0.296,0.44729975227085
