"","precision","recall","F1s"
"BART_pointwise",0.653956349206349,0.616000000000001,0.634410956507067
"BART_simul_max",1,0.468,0.637602179836512
"BART_simul_se",0.996666666666667,0.538,0.69879235447437
"stepwise_backward",0.033590918827518,0.787999999999999,0.0644350939853587
"stepwise_forward",0.025,1,0.048780487804878
"lasso",0.8975,0.318,0.469609214315096
