"","precision","recall","F1s"
"BART_pointwise",0.597891118613739,0.2122,0.313230184740069
"BART_simul_max",0.01,1e-04,0.000198019801980198
"BART_simul_se",0.743571428571429,0.0209,0.0406572234784071
"stepwise_backward",NA,NA,NA
"stepwise_forward",NA,NA,NA
"lasso",0.568684906282339,0.6816,0.620043687921657
