"","precision","recall","F1s"
"BART_pointwise",0.117242560123688,0.618000000000001,0.197093873739437
"BART_simul_max",1,0.452,0.62258953168044
"BART_simul_se",0.986666666666667,0.54,0.697991266375546
"stepwise_backward",NA,NA,NA
"stepwise_forward",NA,NA,NA
"lasso",0.8535,0.28,0.421667401852668
