"","precision","recall","F1s"
"BART_pointwise",0.59964393939394,0.604000000000001,0.601814087272865
"BART_simul_max",1,0.48,0.648648648648648
"BART_simul_se",1,0.536,0.697916666666667
"stepwise_backward",0.0335267759847276,0.779999999999999,0.0642901648478217
"stepwise_forward",0.025,1,0.048780487804878
"lasso",0.916666666666667,0.328,0.483128012854847
