"","precision","recall","F1s"
"BART_pointwise",0.925,0.600000000000001,0.727868852459017
"BART_simul_max",1,0.466,0.635743519781719
"BART_simul_se",1,0.51,0.675496688741722
"stepwise_backward",0.124750793458341,0.672,0.210436020628547
"stepwise_forward",0.0499999999999999,1,0.0952380952380951
"lasso",0.879166666666667,0.312,0.460556877011333
