"","precision","recall","F1s"
"BART_pointwise",0.9335,0.602000000000001,0.731966134809509
"BART_simul_max",1,0.49,0.657718120805369
"BART_simul_se",1,0.54,0.701298701298702
"stepwise_backward",0.124205215110825,0.69,0.210515965351079
"stepwise_forward",0.0499999999999999,1,0.0952380952380951
"lasso",0.919166666666667,0.332,0.487806047688823
